16.07.08;54,92;01:38:21;34.57;52.58;32,85;43,05;Bewoelkt;3;17;30;Nord- West;19,8;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Klinkum, Merbeck Arsbeck
22.07.08;68,86;02:01:41;34.28;51.47;32,61;43,87;Leicht bew.;3;15;0;Nord- West;20,2;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz, Kaulhausen, Unterwestrich, Kuckum, Wanlo, Wickrathberg, Wickrath, Buchholz, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Klinkum, Merbeck Arsbeck
25.07.08;67,39;02:01:02;36.07;54.53;32,75;44,73;Sonnig;3;13;0;Sued- Ost;28,2;Dahlheim, Rothenbach, Elfenmeer, Oberkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Klinkum, Merbeck, Arsbeck
28.07.08;61,95;01:50:51;36.43;54.48;32,67;45,61;Leicht bew.;1;2;0;Sued- Ost;26,3;Dahlheim, Rothenbach, Elfenmeer, Oberkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
29.07.08;61,72;01:49:36;34.41;52.48;32,66;45,16;Leicht bew.;1;6;0;Nord- West;26,7;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz, Kaulhausen, Unterwestrich, Kuckum, Wanlo, Wickrathberg, Wickrath, Buchholz, Rath, Kehrbusch, Schwanenberg, Gerderhahn,  Arsbeck
30.07.08;50,57;01:35:10;37.17;55.48;31,31;43,87;Sonnig;1;4;0;Sued- Ost;29,4;Dahlheim, Rothenbach, Oberkruechten, Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Ellinghoven, Beeck, Wegberg, Watern, Klinkum, Arsbeck
01.08.08;60,98;01:49:28;34.17;52.40;32,58;50,23;Leicht bew.;3;19;30;West;25,4;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Klinkum, Merbeck, Arsbeck
03.08.08;53,98;01:36:22;35.14;53.04;32,99;45,16;Bewoelkt;4;22;35;West;23,1;Dalheim, Wildenrath, Myhl, Gerderath, Gerderhahn, Genholt, Schwanenberg, Kehrbusch, Rath- Anhoven, Schoenhausen, Beeck, Ellinghoven, Broich, Berg, Ricklerath, Schwaam, Merbeck, Niederkruechten, Arsbeck
06.08.08;62,16;01:53:08;35.02;53.29;32,27;41,13;Sonnig;3;15;24;West;29,9;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz, Herrath, Buchholz, Rath, Kehrbusch, Schwanenberg, Gerderhahn,  Gerderath, Alt- Myhl, Flugplatz, Klinkum, Arsbeck
09.08.08;56,16;01:41:53;35.05;53.21;32,11;43,87;Bewoelkt;3;15;30;Sued- West;21,4;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Klinkum, Merbeck Arsbeck
